,Client,Municipal Decision,Subject,Position,Narrative,office_name,official_name
0,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Council Member, At-Large",Rebecca Kaplan
1,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Council Member, District 1",Dan Kalb
2,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Council Member, District 4",Sheng Thao
3,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Council Member, District 5",Noel Gallo
4,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,Mayor,Libby Schaaf
5,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,Department of Transportation - Director of Transportation,
6,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, At-Large",Rebecca Kaplan
7,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 1",Dan Kalb
8,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 2",Nikki Fortunato Bas
9,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 3",Lynette Gibson McElhaney
10,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 4",Sheng Thao
11,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,Department of Transportation - Transportation Planner,
12,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 6",Loren Taylor
13,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 5",Noel Gallo
14,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 7",Larry Reid
15,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Council Member, District 3",City Council - Chief of Staff
16,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,,
17,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,Office of the Mayor - Chief of Staff,
18,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,Office of the Mayor - Director of Housing,
19,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, At-Large",Rebecca Kaplan
20,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 1",Dan Kalb
21,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 2",Nikki Fortunato Bas
22,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 3",Lynette Gibson McElhaney
23,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 4",Sheng Thao
24,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 4",Sheng Thao
25,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 6",Loren Taylor
26,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 5",Noel Gallo
27,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 7",Larry Reid
28,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 2",Nikki Fortunato Bas
29,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 5",Noel Gallo
30,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 3",Lynette Gibson McElhaney
31,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 1",Dan Kalb
32,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, At-Large",Rebecca Kaplan
33,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Attorney,Barbara Parker
34,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 7",Larry Reid
35,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Mayor,Libby Schaaf
36,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 6",Loren Taylor
37,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 4",Sheng Thao
38,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Ces Butner
39,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Andreas Cluver
40,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Amanda Monchamp
41,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Barbara Leslie
42,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Arabella Martinez
43,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Michael Colbruno
44,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Joan Story
45,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Nischit Hegde
46,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Sahar Shirazi
