,Client,Municipal Decision,Subject,Position,Narrative,City Official
0,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Rebecca Kaplan, Council Member, At-Large"
1,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Dan Kalb, Council Member, District 1"
2,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Sheng Thao, Council Member, District 4"
3,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Noel Gallo, Council Member, District 5"
4,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,"Libby Schaaf, Mayor"
5,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,Department of Transportation - Director of Transportation
6,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Rebecca Kaplan, Council Member, At-Large"
7,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Dan Kalb, Council Member, District 1"
8,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Nikki Fortunato Bas, Council Member, District 2"
9,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Lynette Gibson McElhaney, Council Member, District 3"
10,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Sheng Thao, Council Member, District 4"
11,"Lyft, Inc.",Public Contract,Transportation,Support,Supporting updates to the bike share franchise agreement.,Department of Transportation - Transportation Planner
12,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Loren Taylor, Council Member, District 6"
13,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Noel Gallo, Council Member, District 5"
14,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"Larry Reid, Council Member, District 7"
15,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,"City Council - Chief of Staff, Council Member, District 3"
16,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,
17,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,Office of the Mayor - Chief of Staff
18,Rubicon Point Partners,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1750 Broadway use permit proposal.,Office of the Mayor - Director of Housing
19,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Rebecca Kaplan, Council Member, At-Large"
20,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Dan Kalb, Council Member, District 1"
21,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Nikki Fortunato Bas, Council Member, District 2"
22,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Lynette Gibson McElhaney, Council Member, District 3"
23,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Sheng Thao, Council Member, District 4"
24,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Sheng Thao, Council Member, District 4"
25,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Loren Taylor, Council Member, District 6"
